sequence_id,institute_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184245,Universidad Peruana Cayetano Heredia,PTAN-0044,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184245/ERR2184245_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184245/ERR2184245_2.fastq.gz",R,S,S,S,R,I,R,R,R,S,S,R,R,Peru
ERR2184251,Universidad Peruana Cayetano Heredia,PTAN-0050,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184251/ERR2184251_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184251/ERR2184251_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184209,Universidad Peruana Cayetano Heredia,PTAN-0008,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184209/ERR2184209_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184209/ERR2184209_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184224,Universidad Peruana Cayetano Heredia,PTAN-0023,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184224/ERR2184224_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184224/ERR2184224_2.fastq.gz",S,S,S,S,R,R,R,S,S,S,S,R,R,Peru
ERR2184217,Universidad Peruana Cayetano Heredia,PTAN-0016,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184217/ERR2184217_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184217/ERR2184217_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184255,Universidad Peruana Cayetano Heredia,PTAN-0054,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184255/ERR2184255_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184255/ERR2184255_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184264,Universidad Peruana Cayetano Heredia,PTAN-0063,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184264/ERR2184264_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184264/ERR2184264_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,NA,Peru
ERR2184247,Universidad Peruana Cayetano Heredia,PTAN-0046,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184247/ERR2184247_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184247/ERR2184247_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184300,Universidad Peruana Cayetano Heredia,PTAN-0099,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184300/ERR2184300_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184300/ERR2184300_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184231,Universidad Peruana Cayetano Heredia,PTAN-0030,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184231/ERR2184231_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184231/ERR2184231_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184276,Universidad Peruana Cayetano Heredia,PTAN-0075,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184276/ERR2184276_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184276/ERR2184276_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
