sequence_id,country_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR4797337,India,1006,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797337/ERR4797337_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797337/ERR4797337_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797304,India,1218,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797304/ERR4797304_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797304/ERR4797304_2.fastq.gz",R,S,S,S,R,R,R,R,R,S,R,R,R,Foundation for Medical Research India
ERR4797297,India,1060,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797297/ERR4797297_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797297/ERR4797297_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797289,India,1015,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797289/ERR4797289_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797289/ERR4797289_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,Foundation for Medical Research India
ERR4797300,India,1097,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797300/ERR4797300_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797300/ERR4797300_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797292,India,1122,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797292/ERR4797292_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797292/ERR4797292_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797328,India,1007,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797328/ERR4797328_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797328/ERR4797328_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797307,India,1213,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797307/ERR4797307_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797307/ERR4797307_2.fastq.gz",S,S,S,S,S,I,S,S,R,S,R,S,S,Foundation for Medical Research India
ERR4797271,India,1390,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797271/ERR4797271_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797271/ERR4797271_2.fastq.gz",S,S,S,S,R,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797284,India,1053,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797284/ERR4797284_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797284/ERR4797284_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,Foundation for Medical Research India
